Feature,Importance
Pixel_310,0.090089105
Pixel_394,0.049668167
Pixel_479,0.04251075
Pixel_679,0.027096117
Pixel_283,0.02462914
Pixel_451,0.01878516
Pixel_104,0.016058743
Pixel_664,0.015572192
Pixel_339,0.015075993
Pixel_255,0.014370057
Pixel_367,0.011536835
Pixel_628,0.010908811
Pixel_535,0.010676654
Pixel_333,0.010447546
Pixel_491,0.010203223
Pixel_427,0.010190812
Pixel_362,0.010190736
Pixel_425,0.010119643
Pixel_563,0.009338725
Pixel_434,0.008787156
Pixel_378,0.007832283
Pixel_387,0.0075255227
Pixel_418,0.007477633
Pixel_435,0.0065170727
Pixel_681,0.0064020352
Pixel_453,0.0063932235
Pixel_292,0.006019129
Pixel_518,0.005781305
Pixel_298,0.005404828
Pixel_636,0.0053012855
Pixel_396,0.0051702014
Pixel_381,0.0051694512
Pixel_272,0.005088468
Pixel_249,0.004889469
Pixel_446,0.004838301
Pixel_404,0.0047711763
Pixel_389,0.004727607
Pixel_359,0.0047041913
Pixel_208,0.004686303
Pixel_513,0.00468577
Pixel_311,0.0046585207
Pixel_277,0.00465847
Pixel_709,0.0044585937
Pixel_406,0.0044194898
Pixel_290,0.0042668907
Pixel_243,0.0041994806
Pixel_501,0.004176308
Pixel_519,0.004098414
Pixel_690,0.0040521664
Pixel_132,0.0040248996
Pixel_212,0.003812093
Pixel_325,0.0036358743
Pixel_395,0.003596548
Pixel_585,0.00355835
Pixel_649,0.003534531
Pixel_299,0.0034728793
Pixel_340,0.0032669136
Pixel_540,0.0032433963
Pixel_608,0.0032423032
Pixel_273,0.0032274148
Pixel_176,0.0031520529
Pixel_350,0.0029685013
Pixel_216,0.0028471823
Pixel_691,0.0027736132
Pixel_300,0.002742736
Pixel_268,0.0027412642
Pixel_236,0.0026876652
Pixel_285,0.002676031
Pixel_512,0.0026361432
Pixel_502,0.0026066238
Pixel_613,0.0026045549
Pixel_245,0.0026020126
Pixel_408,0.0025617618
Pixel_382,0.0025610228
Pixel_571,0.0025468208
Pixel_221,0.0025301708
Pixel_405,0.002526595
Pixel_651,0.0024946674
Pixel_238,0.0024567351
Pixel_193,0.0024177074
Pixel_267,0.002411113
Pixel_529,0.0023907651
Pixel_622,0.0023319935
Pixel_289,0.0023240526
Pixel_595,0.0023138977
Pixel_297,0.002300658
Pixel_627,0.0022896412
Pixel_316,0.0022841361
Pixel_327,0.002256903
Pixel_523,0.0022100287
Pixel_133,0.002146754
Pixel_402,0.002116133
Pixel_409,0.0020882227
Pixel_286,0.002077132
Pixel_123,0.0020565859
Pixel_716,0.0020546636
Pixel_599,0.0020471264
Pixel_351,0.0020279062
Pixel_156,0.0020079247
Pixel_305,0.0020011968
Pixel_423,0.00199228
Pixel_288,0.0019696981
Pixel_520,0.0019127001
Pixel_399,0.001906543
Pixel_266,0.0019055272
Pixel_543,0.0018745053
Pixel_619,0.0018641902
Pixel_684,0.0018533639
Pixel_652,0.0018393548
Pixel_634,0.0018233015
Pixel_597,0.0018110294
Pixel_522,0.0017796422
Pixel_291,0.001760878
Pixel_214,0.0017552148
Pixel_650,0.0017285087
Pixel_369,0.001707907
Pixel_689,0.0016709965
Pixel_376,0.0016584666
Pixel_591,0.001654122
Pixel_429,0.0016438233
Pixel_596,0.0016214414
Pixel_262,0.001617225
Pixel_215,0.0016104019
Pixel_235,0.0015957897
Pixel_598,0.0015787567
Pixel_744,0.0015774104
Pixel_259,0.0015656528
Pixel_632,0.0015531488
Pixel_656,0.0015435822
Pixel_246,0.0015362862
Pixel_239,0.0015306177
Pixel_294,0.0015297051
Pixel_271,0.0015154162
Pixel_594,0.0014939274
Pixel_258,0.0014818688
Pixel_181,0.0014561058
Pixel_354,0.0014548547
Pixel_323,0.0014391537
Pixel_187,0.0014235459
Pixel_514,0.0014221665
Pixel_320,0.0014131475
Pixel_631,0.0014069706
